Instance: r2
Bin radius: 6.12
Rho: 2/3
Rotate enable: false
Bin num: 3
Lower bound: 2
Opt: false
Gap: 0.3333333333333333
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-1.2655622261472823,-5.752895490041724,3.28,1.29
1,-1.7205754156777264,3.8128658199247716,4.41,1.44
1,-4.95115587754276,-1.106382549847524,1.39,4.68
1,3.4975897159147515,-1.8528421321805568,2.33,3.71
1,-3.5580898143441213,-4.974703074578608,2.26,3.92
1,-1.296499836687539,-3.282768974248927,2.19,4.45
1,0.895129488789904,-2.8679124470005015,2.6,4.69
2,3.2416327263806153,1.8862293217345574,1.23,2.2
2,3.210098449178235,-1.5051950915160346,2.72,3.01
2,-1.0248942642786174,1.2176050310302158,4.15,2.56
2,-5.821269465078267,-1.0533646087706752,4.67,2.94
2,-1.1505703809571,-4.456258726164252,4.36,4.05
3,-1.1721290268087121,4.177824408710129,4.03,1.22
3,-5.696510235477833,-2.216109788835808,4.51,1.1
3,-3.4503183828951465,-0.39909469702989897,4.79,1.31
3,1.4775262876920967,-3.0440342484803895,1.75,3.88
3,3.2519161408892154,-3.568405663250868,1.68,4.45
3,1.3758746330782705,0.9251255344201901,3.72,2.31
3,-2.673744194525953,-5.465637690706215,4.12,3.24
3,-3.26789356322186,0.920211345005829,4.58,3.25
