Instance: s1
Bin radius: 4.21
Rho: 1/2
Rotate enable: false
Bin num: 4
Lower bound: 3
Opt: false
Gap: 0.25
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-2.791384154792099,-1.9102734527661638,1.78,1.78
1,-0.985407154567551,-3.499453535024901,3.31,3.31
1,-1.7739192227438085,-0.06267123687404301,3.71,3.71
2,-4.00110332858757,-1.201630321697543,2.51,2.51
2,-1.3821553567671072,-3.9741037254688654,2.77,2.77
2,-1.4903202300328295,-1.2033875237681948,4.32,4.32
3,-1.8364987114959455,-1.8364987114959508,4.74,4.74
4,-3.471732418283376,-1.7125481345558744,1.48,1.48
4,-1.1908274777677341,-3.563218217891668,3.36,3.36
4,-1.9483695841649085,-0.17417011253058,3.89,3.89
