Instance: r1
Bin radius: 3.62
Rho: 1/2
Rotate enable: false
Bin num: 4
Lower bound: 3
Opt: false
Gap: 0.25
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,2.429359006958629,-0.805,1.1,1.61
1,-2.0035406160095683,-3.015,3.21,2.21
1,-2.190640993041371,-0.8050000000000002,4.62,3.36
2,1.3794971713915345,-0.54,2.2,1.08
2,-1.8526467553206147,-3.11,2.7,2.57
2,-3.5326467553206147,-0.7904472797870414,1.68,1.46
2,-1.8526467553206147,-0.54,2.99,3.51
3,-0.91,0.8937551284300675,1.82,2.61
3,-2.5927758963833756,-2.526244871569932,3.68,3.42
4,-1.895,-3.084375949847878,3.79,4.79
