Instance: r150
Bin radius: 11.63
Rho: 1/3
Rotate enable: false
Bin num: 4
Lower bound: 4
Opt: true
Gap: 0.0
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-1.455,-11.538625351401267,2.91,4.21
1,-5.655,-10.162572262965712,4.2,2.96
1,-8.165,-8.281888371621537,2.51,4.69
1,-10.764999999999999,-4.401326504589276,2.6,1.73
1,-9.725,-5.421326504589276,1.56,1.02
1,-9.334999999999999,-6.551326504589276,1.17,1.13
1,1.4549999999999996,-10.799892360574713,2.86,3.57
1,4.3149999999999995,-10.281910085193317,1.12,1.95
1,5.435,-9.145090212786315,1.75,2.46
1,7.185,-2.374589438197693,4.2,1.29
1,7.185,-3.5045894381976934,3.87,1.13
1,7.185,-4.834589438197693,3.19,1.33
1,7.185,-5.9245894381976925,2.7,1.09
1,7.185,-7.4245894381976925,1.58,1.5
1,4.3149999999999995,-8.331910085193318,1.12,1.48
1,-1.455,-7.328625351401267,2.91,2.04
1,1.455,-7.229892360574713,2.85,1.54
1,-5.654999999999999,-7.202572262965712,4.14,2.38
1,4.305,-6.8519100851933175,1.11,1.6
1,5.415,-6.6850902127863145,1.77,1.98
1,1.545,-5.689892360574713,2.76,4.41
1,-1.455,-5.288625351401267,3.0,3.13
1,4.305,-5.251910085193318,1.11,1.9
1,-5.515,-4.822572262965712,4.06,1.93
1,5.535,-4.705090212786315,1.65,3.56
1,-8.165,-3.591888371621537,2.65,4.79
1,4.315,-3.351910085193318,1.22,1.59
1,-5.514999999999999,-2.8925722629657127,4.06,2.48
1,-11.315,-2.6713265045892762,3.15,4.17
1,-1.4549999999999992,-2.158625351401267,2.99,4.11
1,4.425,-1.7619100851933178,1.11,3.63
1,1.535000000000001,-1.2798923605747126,2.89,4.38
1,5.535,-1.145090212786315,1.52,4.88
1,7.055,-1.084589438197693,4.51,1.94
1,-5.424999999999999,-0.4125722629657127,3.97,4.92
1,7.055,0.8554105618023069,4.12,1.96
1,-8.165,1.198111628378463,2.74,4.02
1,-11.055,1.4986734954107237,2.89,1.86
1,4.465,1.868089914806682,1.07,4.22
1,-1.4549999999999987,1.9513746485987333,2.73,4.88
1,7.055,2.815410561802307,3.59,1.5
1,1.2750000000000012,3.1001076394252873,3.19,3.41
1,-10.454999999999998,3.3586734954107236,2.29,1.65
1,5.535,3.734909787213685,1.48,2.67
1,7.015000000000001,4.315410561802307,2.59,1.51
1,-5.424999999999999,4.507427737034288,3.97,2.89
1,-9.594999999999999,5.008673495410724,1.43,1.34
1,-8.155,5.2181116283784625,2.73,2.05
1,7.015000000000001,5.825410561802307,2.1,1.36
1,4.565,6.404909787213684,2.45,2.27
1,1.2850000000000006,6.5101076394252875,3.28,1.12
1,-1.4449999999999994,6.831374648598733,2.73,4.37
1,-8.024999999999999,7.268111628378462,2.6,1.1
1,-5.354999999999999,7.397427737034288,3.91,2.76
1,1.2850000000000006,7.630107639425288,3.18,2.78
1,-6.624999999999998,8.368111628378463,1.27,1.17
2,-1.68,-11.508018943328171,3.36,1.57
2,-3.3599999999999994,-11.134060355503738,1.68,4.04
2,-7.02,-9.272351373842563,3.66,1.86
2,-9.51,-6.6945350846791465,2.49,3.44
2,-11.459999999999999,-1.981236987338983,1.95,1.65
2,-11.05,-3.431236987338983,1.54,1.45
2,1.6800000000000002,-10.427578817731373,3.47,1.99
2,5.15,-9.061611335739357,2.14,2.18
2,7.29,-6.929740254872475,2.05,2.72
2,9.34,-1.361763562443946,2.21,2.45
2,9.34,-2.7617635624439454,1.94,1.4
2,-1.6799999999999995,-9.93801894332817,3.3,2.47
2,1.6900000000000004,-8.437578817731373,3.46,2.22
2,-1.6799999999999995,-7.46801894332817,3.37,3.57
2,-7.02,-7.412351373842562,3.65,3.48
2,-3.3599999999999994,-7.094060355503738,1.68,2.57
2,5.199999999999999,-6.881611335739358,2.09,3.98
2,1.6900000000000006,-6.217578817731372,3.51,4.1
2,-3.2299999999999995,-4.524060355503739,1.55,3.19
2,7.289999999999999,-4.209740254872475,2.05,3.87
2,-6.91,-3.9323513738425624,3.68,2.05
2,-1.6799999999999995,-3.8980189433281702,3.32,4.68
2,-9.51,-3.2545350846791465,2.54,4.8
2,5.26,-2.9016113357393576,2.03,4.59
2,1.75,-2.1175788177313724,3.51,2.03
2,-6.97,-1.8823513738425626,3.71,4.0
2,-3.26,-1.334060355503739,1.53,2.67
2,7.289999999999999,-0.33974025487247506,1.99,4.45
2,-11.42,-0.3312369873389831,1.91,2.09
2,1.6599999999999997,-0.08757881773137255,3.6,2.26
2,-1.72,0.7819810566718295,3.38,3.99
2,9.28,1.0882364375560543,1.92,1.44
2,-3.13,1.335939644496261,1.41,2.87
2,-9.45,1.5454649153208533,2.48,4.5
