Instance, n0, n, Rho,R,A, A', RotateEnable, Opt, Gap, LB_Area, LB_MT, LB_Area_Imp, LB_MT_Imp, LB_Best, UB0, UB, lbTime, ub0Time, incTime, totalTime
s1,10,10,0,3.44,37.17635083,33.12559588,F,0,0.333333333,4,4,4,4,4,6,6,0.079,0.007,0.007,60
s1,10,10,1,4.21,55.68190235,48.45772462,F,0,0.25,3,3,3,3,3,4,4,0.054,0.001,0.001,60
s1,10,10,2,4.87,74.50883881,65.5278711,F,0,0.333333333,2,2,2,2,2,3,3,0.063,0,0,60
s2,20,20,0,5.08,81.07319666,73.75925703,F,0,0.333333333,4,4,4,4,4,6,6,0.152,0.001,0.001,60
s2,20,20,1,6.22,121.5431932,112.2288243,F,1,0,3,3,3,3,3,4,3,0.14,0.001,0.013,0.153
s2,20,20,2,7.19,162.408088,151.6919281,F,0,0.333333333,2,2,2,2,2,3,3,0.225,0.001,0.001,60
s3,30,30,0,4.95,76.97687399,70.22622021,F,1,0,3,3,4,4,4,5,4,0.153,0.01,0.116,0.269
s3,30,30,1,6.06,115.370592,107.2121468,F,1,0,2,2,3,3,3,3,3,0.198,0,0,0.198
s3,30,30,2,6.99,153.4985312,144.2343023,F,1,0,2,2,2,2,2,2,2,0.237,0,0,0.237
r1,10,9,0,2.95,27.33971007,23.45733782,F,0,0.25,3,3,3,3,3,4,4,0.078,0,0,60
r1,10,9,0,2.95,27.33971007,23.52119404,R,0,0.25,3,3,3,3,3,4,4,0.042,0.017,0.017,60
r1,10,10,1,3.62,41.16868677,36.21761508,F,0,0.25,2,2,3,3,3,4,4,0.109,0,0,60
r1,10,10,1,3.62,41.16868677,36.27321115,R,0,0.25,2,2,3,3,3,4,4,0.105,0.001,0.001,60
r1,10,10,2,4.18,54.89116348,49.52759457,F,0,0.333333333,2,2,2,2,2,3,3,0.058,0,0,60.001
r1,10,10,2,4.18,54.89116348,49.633897,R,0,0.333333333,2,2,2,2,2,3,3,0.056,0,0,60
r2,20,20,0,4.33,58.9014065,52.70994305,F,0,0.2,3,3,4,4,4,5,5,0.06,0.001,0.001,60
r2,20,20,0,4.33,58.9014065,52.81558678,R,0,0.2,3,3,4,4,4,5,5,0.065,0.001,0.001,60.002
r2,20,20,1,5.3,88.24733764,80.80290577,F,1,0,3,3,3,3,3,3,3,0.087,0,0,0.087
r2,20,20,1,5.3,88.24733764,80.78066681,R,1,0,3,3,3,3,3,3,3,0.079,0,0,0.079
r2,20,20,2,6.12,117.6664679,108.8196359,F,1,0,2,2,2,2,2,3,2,0.117,0.001,0.006,0.123
r2,20,20,2,6.12,117.6664679,108.9960189,R,1,0,2,2,2,2,2,2,2,0.093,0,0,0.093
r3,30,30,0,5.08,81.07319666,74.03577444,F,1,0,3,3,4,4,4,5,4,0.089,0.001,0.121,0.21
