Instance: r1
Bin radius: 4.18
Rho: 2/3
Rotate enable: true
Bin num: 3
Lower bound: 2
Opt: false
Gap: 0.3333333333333333
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-0.805,3.0017526741625944,1.61,1.1
1,-2.9089312269556515,-0.7882473258374061,4.79,3.79
1,-2.912544072303257,-2.998247325837406,3.21,2.21
1,-3.9925440723032573,-1.2377365756557894,1.08,2.2
1,0.2974559276967428,-2.6082473258374064,2.61,1.82
1,1.8810687730443485,-0.7882473258374063,1.68,1.46
2,-2.717016743100739,-3.176510667022897,2.7,2.57
2,-3.007016743100739,-0.606510667022897,2.99,3.51
2,-0.01701674310073864,-2.01369155028164,3.68,3.42
3,-2.31,-3.483719276864885,4.62,3.36
