Instance: s1
Bin radius: 3.44
Rho: 1/3
Rotate enable: false
Bin num: 6
Lower bound: 4
Opt: false
Gap: 0.3333333333333333
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-2.8628605176671664,-1.9072571028528067,1.48,1.48
1,-3.1628605176671662,-0.4272571028528067,1.78,1.78
1,-1.3828605176671664,-3.1498090082856285,2.51,2.51
1,-1.3828605176671664,-0.6398090082856287,3.31,3.31
2,-1.385,0.3788688445217909,2.77,2.77
2,-1.7165246965415784,-2.981131155478209,3.36,3.36
3,-1.855,-1.855,3.71,3.71
4,-1.945,-1.945,3.89,3.89
5,-2.16,-2.16,4.32,4.32
6,-2.37,-2.4933311051683447,4.74,4.74
