Instance, R,A, A', n, RotateEnable, Opt, Gap, LB_Area, LB_MT, LB_Area_Imp, LB_MT_Imp, LB_Best, UB0, UB, lbTime, ub0Time, incTime, totalTime
CBPP-RI-1000-1,14.14,628.1287785,545.7656591,1000,F,0,0.169354839,90,90,103,103,103,126,124,0.276,0.124,65.323,600.05
CBPP-RI-1000-1,14.14,628.1287785,545.7656591,1000,R,0,0.155737705,90,90,103,103,103,124,122,0.194,0.262,198.771,600.108
CBPP-RI-1000-2,14.14,628.1287785,608.4826335,1000,F,0,0.11627907,36,36,38,38,38,44,43,0.346,0.071,35.348,600.004
CBPP-RI-1000-2,14.14,628.1287785,610.6206314,1000,R,0,0.139534884,36,36,37,37,37,43,43,0.248,0.184,0.184,600.517
CBPP-RI-1000-3,14.14,628.1287785,608.2464753,1000,F,0,0.136363636,36,36,38,38,38,44,44,0.335,0.068,0.068,600.112
CBPP-RI-1000-3,14.14,628.1287785,610.4024231,1000,R,0,0.139534884,36,36,37,37,37,43,43,0.254,0.179,0.179,600.48
CBPP-RI-1000-4,14.14,628.1287785,610.6206314,1000,F,0,0.0625,15,15,15,15,15,16,16,0.257,0.073,0.073,600.044
CBPP-RI-1000-4,14.14,628.1287785,610.6206314,1000,R,0,0.0625,15,15,15,15,15,16,16,0.265,0.228,0.228,600.093
CBPP-RI-200-1,14.14,628.1287785,544.7134355,200,F,0,0.130434783,18,18,20,20,20,25,23,0.183,0.003,204.037,600.001
CBPP-RI-200-1,14.14,628.1287785,544.863969,200,R,0,0.130434783,18,18,20,20,20,24,23,0.165,0.01,11.465,600.019
CBPP-RI-200-2,14.14,628.1287785,608.2464753,200,F,0,0.111111111,8,8,8,8,8,10,9,0.35,0.003,36.085,600
CBPP-RI-200-2,14.14,628.1287785,610.4024231,200,R,0,0.111111111,8,8,8,8,8,9,9,0.276,0.01,0.01,600.015
CBPP-RI-200-3,14.14,628.1287785,608.0578608,200,F,0,0.125,7,7,7,7,7,9,8,0.353,0.004,4.365,600.008
CBPP-RI-200-3,14.14,628.1287785,610.2200206,200,R,0,0.125,7,7,7,7,7,8,8,0.25,0.01,0.01,600.022
CBPP-RI-200-4,14.14,628.1287785,610.414189,200,F,0,0.25,3,3,3,3,3,4,4,0.244,0.004,0.004,600.012
