Instance: CBPP
Bin radius: 14.14
Rotate enable: true
Bin num: 43
Lower bound: 37
Opt: false
Gap: 0.13953488372093023
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-2.47,-13.922596740550953,4.94,9.89
1,-12.34,-6.903911934548414,9.87,4.88
1,-13.35,-4.660160941426811,1.01,9.16
1,-11.620000000000001,-8.023911934548414,9.15,1.12
1,-10.71,-9.043911934548413,8.24,1.02
1,-9.65,-10.223911934548413,7.18,1.18
1,-8.59,-11.223911934548413,6.12,1.0
1,2.4700000000000006,-6.886007551549735,9.88,4.71
1,2.47,-8.016007551549734,9.05,1.13
1,2.47,-9.706007551549733,7.81,1.69
1,2.47,-11.016007551549734,6.39,1.31
1,12.350000000000001,-4.573313896946065,1.03,9.0
1,-2.4700000000000006,-4.032596740550952,4.94,7.37
1,2.4699999999999998,-2.176007551549735,9.88,1.93
1,-12.34,-2.023911934548414,9.87,3.64
1,2.710000000000001,-0.24600755154973508,9.64,4.89
1,-12.34,1.6160880654515863,9.87,3.51
1,-2.4700000000000006,3.337403259449048,5.18,4.9
1,2.709999999999999,4.643992448450264,9.54,2.41
1,-12.41,5.126088065451587,9.94,1.65
1,-11.58,6.776088065451587,9.11,1.3
1,2.709999999999999,7.0539924484502645,8.79,1.16
1,-10.34,8.076088065451588,7.87,1.56
1,2.709999999999999,8.213992448450265,7.81,1.23
1,-2.4699999999999998,8.23740325944905,5.18,3.99
1,2.71,9.443992448450265,6.59,1.19
1,-9.11,9.636088065451588,6.64,1.11
1,2.71,10.633992448450265,5.28,1.02
1,-7.839999999999999,10.746088065451588,5.37,1.01
1,-4.835753779999843,12.22740325944905,9.47,1.06
2,-2.275,-13.955786434307456,4.55,9.99
2,-12.075000000000001,-7.357579425327327,9.8,4.72
2,-13.205000000000002,-5.056438964330527,1.13,9.76
2,-10.805,-9.107579425327327,8.53,1.75
2,-9.775,-10.207579425327326,7.5,1.1
2,-8.235,-11.347579425327327,5.96,1.14
2,2.2750000000000004,-7.357579425327327,9.8,4.72
2,2.275,-9.237579425327326,8.37,1.88
2,2.275,-10.317579425327326,7.25,1.08
2,2.275,-11.537579425327326,5.81,1.22
2,12.075000000000001,-5.1596874905366095,1.09,9.69
2,-2.2750000000000004,-3.9657864343074554,4.55,9.15
2,-11.805,-2.637579425327327,9.53,4.99
2,2.2749999999999995,-2.637579425327327,9.6,4.88
2,2.2749999999999995,2.242420574672673,9.6,4.81
2,-11.765,2.3524205746726734,9.49,4.89
2,-2.2750000000000004,5.184213565692545,4.55,7.46
2,2.2749999999999995,7.052420574672673,8.69,1.82
