Instance: r100
Bin radius: 14.14
Rho: 2/3
Rotate enable: false
Bin num: 3
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-13.14,-5.140000000000001,4.3,4.82
1,-13.14,-0.14000000000000057,4.38,4.67
1,-9.14,-10.14,4.48,4.44
1,-9.14,4.859999999999999,4.06,4.83
1,-8.14,-5.140000000000001,4.23,4.51
1,-8.14,-0.14000000000000057,3.73,4.91
1,-4.140000000000001,-13.14,3.72,4.9
1,-4.140000000000001,-0.14000000000000057,4.07,4.33
1,-4.140000000000001,4.859999999999999,3.54,4.93
1,-3.1400000000000006,-8.14,4.9,3.5
1,-3.1400000000000006,-4.140000000000001,4.89,3.42
1,-0.14000000000000057,-13.14,3.28,4.68
1,-0.14000000000000057,4.859999999999999,3.43,4.36
1,0.8599999999999994,-0.14000000000000057,4.69,3.17
1,1.8599999999999994,-8.14,4.51,3.25
1,-5.140000000000001,9.86,4.96,2.92
1,1.8599999999999994,-4.140000000000001,3.95,3.65
1,-0.14000000000000057,9.86,4.76,2.9
1,3.8599999999999994,3.8599999999999994,3.46,3.89
1,5.859999999999999,-4.140000000000001,4.65,2.88
1,5.859999999999999,-1.1400000000000006,3.53,3.79
1,6.859999999999999,-8.14,3.46,3.81
1,7.859999999999999,2.8599999999999994,2.9,4.45
1,3.8599999999999994,-12.14,2.81,3.6
1,4.859999999999999,7.859999999999999,3.5,2.87
1,9.86,-1.1400000000000006,3.36,2.89
1,10.86,-5.140000000000001,1.86,3.89
1,10.86,1.8599999999999994,1.78,3.56
1,-11.14,-8.14,1.18,2.71
1,-12.14,4.859999999999999,1.68,1.87
1,-7.140000000000001,-12.14,1.82,1.48
1,-7.140000000000001,9.86,1.77,1.44
1,6.859999999999999,-10.14,1.44,1.72
2,-13.14,-5.140000000000001,4.17,3.19
2,-13.14,-1.1400000000000006,3.02,4.39
2,-11.14,3.8599999999999994,3.46,3.72
2,-9.14,-10.14,2.64,4.86
2,-9.14,-1.1400000000000006,3.38,3.74
2,-7.140000000000001,2.8599999999999994,2.58,4.72
2,-8.14,-5.140000000000001,3.44,3.48
2,-8.14,7.859999999999999,4.78,2.44
2,-6.140000000000001,-12.14,2.4,4.84
2,-4.140000000000001,-7.140000000000001,2.27,4.92
2,-5.140000000000001,-1.1400000000000006,3.5,3.18
2,-4.140000000000001,2.8599999999999994,3.46,3.2
2,-3.1400000000000006,-13.14,4.05,2.64
2,-3.1400000000000006,-10.14,4.17,2.47
2,-3.1400000000000006,6.859999999999999,2.34,4.39
2,-1.1400000000000006,-7.140000000000001,2.26,4.54
2,-1.1400000000000006,-2.1400000000000006,4.51,2.24
2,-0.14000000000000057,0.8599999999999994,3.24,3.05
2,-0.14000000000000057,4.859999999999999,4.97,1.95
2,-0.14000000000000057,6.859999999999999,1.94,4.95
2,1.8599999999999994,-13.14,2.07,4.57
2,1.8599999999999994,-8.14,1.95,4.77
2,1.8599999999999994,6.859999999999999,2.38,3.88
2,3.8599999999999994,-8.14,3.84,2.31
2,3.8599999999999994,-5.140000000000001,3.82,2.31
2,3.8599999999999994,-2.1400000000000006,3.03,2.85
2,3.8599999999999994,0.8599999999999994,2.18,3.96
2,4.859999999999999,4.859999999999999,2.55,3.36
2,4.859999999999999,-11.14,2.94,2.91
2,6.859999999999999,0.8599999999999994,3.85,2.22
2,7.859999999999999,-5.140000000000001,4.29,1.94
2,7.859999999999999,3.8599999999999994,2.0,4.13
2,7.859999999999999,-3.1400000000000006,2.12,3.78
2,7.859999999999999,-8.14,2.69,2.8
2,-2.1400000000000006,11.86,3.98,1.89
2,10.86,-3.1400000000000006,1.37,4.91
2,10.86,1.8599999999999994,1.77,3.35
2,1.8599999999999994,10.86,3.03,1.93
2,4.859999999999999,8.86,3.63,1.57
2,-11.14,-8.14,1.1,2.61
2,-6.140000000000001,-7.140000000000001,1.66,1.24
2,-5.140000000000001,10.86,1.02,1.98
3,-13.14,-5.140000000000001,4.95,1.61
3,-13.14,-3.1400000000000006,3.19,2.16
3,-13.14,-0.14000000000000057,3.15,2.18
3,-12.14,2.8599999999999994,2.26,2.96
3,-12.14,-7.140000000000001,4.77,1.4
3,-10.14,5.859999999999999,2.92,2.25
3,-9.14,-10.14,2.2,2.88
3,-9.14,-3.1400000000000006,4.91,1.18
3,-9.14,-1.1400000000000006,1.52,3.76
3,-9.14,2.8599999999999994,2.54,2.17
3,-8.14,-5.140000000000001,3.1,1.68
3,-8.14,8.86,4.15,1.23
3,-7.140000000000001,-12.14,3.89,1.3
3,-7.140000000000001,-7.140000000000001,3.91,1.28
3,-7.140000000000001,-1.1400000000000006,4.73,1.05
3,-6.140000000000001,0.8599999999999994,1.24,3.83
3,-4.140000000000001,0.8599999999999994,1.07,4.41
3,-3.1400000000000006,-13.14,1.01,4.6
3,-7.140000000000001,5.859999999999999,3.23,1.4
3,-4.140000000000001,-5.140000000000001,1.1,3.37
3,-5.140000000000001,10.86,3.08,1.05
3,-6.140000000000001,-10.14,1.01,2.69
3,-3.1400000000000006,-8.14,2.58,1.0
3,-3.1400000000000006,5.859999999999999,2.02,1.21
3,-3.1400000000000006,7.859999999999999,1.58,1.16
