Instance: s1
Bin radius: 4.21
Rho: 1/2
Rotate enable: false
Bin num: 4
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-3.41,-2.41,4.74,4.74
1,1.39,-1.31,2.51,2.51
1,-1.5100000000000002,-3.91,1.48,1.48
2,-3.5100000000000002,-2.31,4.32,4.32
2,0.8899999999999999,-2.0100000000000002,2.77,2.77
2,-1.5100000000000002,2.09,1.78,1.78
3,-3.6100000000000003,-2.1100000000000003,3.8899999999999997,3.8899999999999997
3,0.28999999999999987,-2.0100000000000002,3.3600000000000003,3.3600000000000003
4,-3.71,-1.9100000000000001,3.71,3.71
4,0.08999999999999986,-2.31,3.31,3.31
