Instance: CBPP
Bin radius: 14.14
Rotate enable: true
Bin num: 9
Bin id,X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
1,-13.14,-5.140000000000001,4.82,9.95
1,-8.24,-11.440000000000001,4.77,9.93
1,-8.24,-1.4400000000000006,4.91,9.46
1,-3.4400000000000004,-13.64,4.7,9.7
1,-3.2400000000000007,-3.8400000000000007,4.61,9.87
1,1.4599999999999995,-12.74,4.42,9.81
1,1.4599999999999995,-2.8400000000000007,4.79,9.04
1,6.26,-8.540000000000001,4.96,8.2
1,-7.140000000000001,8.059999999999999,9.92,4.06
1,6.26,-0.24000000000000057,4.4,8.98
1,2.8599999999999994,6.26,3.3299999999999996,5.95
1,11.26,-4.24,2.18,8.15
1,-3.2400000000000007,6.26,6.04,1.73
1,-3.2400000000000007,12.16,5.89,1.54
1,-9.74,4.859999999999999,1.13,5.24
1,-9.34,-10.540000000000001,1.08,5.32
2,-13.440000000000001,-4.340000000000001,4.43,8.6
2,-8.940000000000001,-10.940000000000001,3.9799999999999995,9.13
2,-8.940000000000001,-1.7400000000000007,4.04,8.99
2,-4.94,-13.24,3.78,9.42
2,-4.840000000000001,-3.7400000000000007,3.75,9.49
2,-1.1400000000000006,-13.74,4.1,8.53
2,-1.0400000000000005,-5.140000000000001,4.12,8.43
2,-4.840000000000001,5.76,4.64,7.42
2,-0.14000000000000057,3.3599999999999994,4.46,7.67
2,3.1599999999999993,-11.64,4.7,7.269999999999999
2,3.1599999999999993,-4.340000000000001,4.74,7.2
2,7.959999999999999,-7.94,3.6800000000000006,9.21
2,4.359999999999999,2.9599999999999995,3.79,8.46
2,8.16,1.3599999999999994,3.47,6.480000000000001
2,11.66,-4.540000000000001,1.6599999999999997,8.99
2,-10.34,7.26,5.22,2.28
2,-0.14000000000000057,11.459999999999999,5.99,1.38
2,-10.24,-9.74,1.02,5.36
3,-13.24,-4.94,3.4200000000000004,9.89
3,-9.74,-10.24,3.4900000000000007,9.4
3,-9.74,-0.7400000000000005,3.5799999999999996,9.02
3,-6.24,-12.64,3.2299999999999995,9.98
3,-6.140000000000001,-2.6400000000000006,4.43,7.209999999999999
3,-2.9400000000000004,-13.74,3.2400000000000007,9.76
3,-6.140000000000001,4.659999999999999,4.54,6.94
3,-1.6400000000000006,-3.9400000000000004,3.8199999999999994,8.12
3,-1.5400000000000005,4.26,4.32,7.159999999999999
3,0.35999999999999943,-13.34,4.15,7.35
3,2.2599999999999993,-5.94,3.3199999999999994,9.17
3,2.8599999999999994,3.2599999999999993,4.15,7.209999999999999
3,5.659999999999999,-10.940000000000001,3.13,9.53
3,7.06,-1.3400000000000005,3.44,8.62
3,10.559999999999999,-5.140000000000001,2.51,9.99
3,-5.140000000000001,11.66,9.94,1.44
3,8.86,-9.34,1.6800000000000002,7.44
4,-13.64,-3.6400000000000006,4.35,6.81
4,-9.24,-10.64,3.7599999999999993,7.6
4,-9.64,3.2599999999999993,4.07,6.92
4,-5.540000000000001,-2.9400000000000004,3.91,7.18
4,-5.540000000000001,4.26,3.56,7.87
4,-5.44,-13.040000000000001,4.54,6.16
4,-1.9400000000000006,4.26,4.14,6.730000000000001
4,-1.5400000000000005,-6.840000000000001,4.11,6.74
4,-0.8400000000000005,-13.540000000000001,4.62,5.99
4,2.2599999999999993,-0.04000000000000057,3.2,8.58
4,2.6599999999999993,-7.540000000000001,4.05,6.76
4,5.56,-0.7400000000000005,3.91,6.970000000000001
4,6.76,-8.84,4.1,6.57
4,9.559999999999999,-2.2400000000000007,3.79,6.75
4,-9.24,-2.9400000000000004,3.65,5.93
4,2.2599999999999993,8.559999999999999,5.67,3.06
4,5.56,6.26,5.17,2.22
4,3.8599999999999994,-12.64,2.26,5.07
4,-1.9400000000000006,11.66,6.49,1.61
4,-10.940000000000001,3.2599999999999993,1.28,5.57
4,-10.540000000000001,-9.34,1.13,5.69
5,-13.34,-4.640000000000001,2.9,9.23
5,-10.34,-9.64,3.11,8.48
5,-10.34,-1.1400000000000006,4.31,6.11
5,-7.140000000000001,-12.14,2.9,9.07
5,-8.74,5.06,4.42,5.94
5,-5.94,-3.0400000000000005,4.81,5.42
5,-4.24,2.4599999999999995,3.78,6.88
5,-4.140000000000001,-13.440000000000001,4.06,6.32
5,-1.0400000000000005,-7.040000000000001,3.0,8.52
5,-0.44000000000000056,1.5599999999999994,2.71,9.37
5,2.0599999999999996,-13.040000000000001,3.2700000000000005,7.76
5,2.0599999999999996,-5.24,4.35,5.8
5,2.3599999999999994,0.6599999999999995,3.09,8.11
5,5.459999999999999,0.6599999999999995,3.94,6.31
5,6.459999999999999,-10.74,2.66,9.31
5,9.459999999999999,-3.2400000000000007,4.22,5.82
5,-4.24,10.959999999999999,8.46,2.41
5,-0.04000000000000057,-13.940000000000001,2.02,6.83
5,2.3599999999999994,8.86,6.87,1.75
5,9.459999999999999,2.6599999999999993,2.24,5.02
5,9.16,-8.64,1.9099999999999997,5.31
6,-13.74,-3.2400000000000007,4.05,6.04
6,-10.74,2.8599999999999994,3.9,6.2
6,-10.940000000000001,-8.940000000000001,4.33,5.57
6,-6.74,-3.3400000000000007,2.46,9.8
6,-6.540000000000001,-12.440000000000001,3.3600000000000003,7.139999999999999
6,-4.24,-5.24,2.44,9.81
6,-4.24,4.659999999999999,3.2599999999999993,7.209999999999999
6,-1.7400000000000007,-13.940000000000001,2.45,9.57
6,-1.7400000000000007,-4.340000000000001,3.94,5.9
6,-0.9400000000000006,1.6599999999999995,3.05,7.62
6,0.7599999999999995,-13.74,2.47,9.38
6,2.1599999999999993,1.6599999999999995,2.49,9.21
6,3.2599999999999993,-12.74,2.68,8.48
6,4.659999999999999,-4.24,2.52,8.93
6,4.659999999999999,4.76,3.38,6.65
6,7.26,-9.24,3.37,6.55
6,7.26,-2.6400000000000006,4.09,5.37
6,8.059999999999999,2.7599999999999993,3.03,5.8
6,11.36,-4.840000000000001,1.83,9.21
6,-9.64,-3.3400000000000007,2.7,6.18
6,-4.540000000000001,11.959999999999999,8.88,1.35
6,-6.74,6.56,2.1,5.32
6,2.2599999999999993,-4.24,1.98,5.5
6,-3.1400000000000006,-13.74,1.32,8.16
6,5.959999999999999,-12.040000000000001,1.29,6.860000000000001
7,-13.24,-4.94,2.24,9.79
7,-10.940000000000001,-8.940000000000001,3.06,7.029999999999999
7,-10.940000000000001,-1.8400000000000005,2.58,8.31
7,-8.34,-1.8400000000000005,2.61,8.14
7,-7.840000000000001,-11.74,3.2299999999999995,6.57
7,-5.640000000000001,-5.140000000000001,2.64,7.959999999999999
7,-5.640000000000001,2.8599999999999994,2.24,9.25
7,-4.540000000000001,-13.34,2.92,6.959999999999999
7,-3.3400000000000007,2.8599999999999994,3.04,6.65
7,-2.9400000000000004,-6.340000000000001,3.9,5.15
7,-1.5400000000000005,-14.040000000000001,2.99,6.709999999999999
7,-0.24000000000000057,-1.1400000000000006,3.63,5.52
7,-0.24000000000000057,4.459999999999999,2.31,8.63
7,1.4599999999999995,-13.440000000000001,2.62,7.519999999999999
7,3.4599999999999995,-5.840000000000001,2.12,9.21
7,2.1599999999999993,4.459999999999999,2.92,6.470000000000001
7,4.159999999999999,-12.040000000000001,3.09,6.09
7,5.159999999999999,3.4599999999999995,3.56,5.22
7,5.659999999999999,-5.94,2.73,6.8
7,8.459999999999999,-7.540000000000001,3.45,5.3
7,8.76,-2.1400000000000006,2.62,6.95
7,11.459999999999999,-2.1400000000000006,1.44,7.68
7,-8.14,6.359999999999999,1.86,5.12
8,-13.64,-3.6400000000000006,2.71,6.55
8,-10.84,-9.040000000000001,2.92,5.99
8,-11.040000000000001,2.9599999999999995,3.02,5.79
8,-10.84,-3.0400000000000005,3.14,5.53
8,-7.94,2.5599999999999996,2.01,8.6
8,-7.840000000000001,-11.74,2.14,8.03
8,-5.840000000000001,-3.6400000000000006,2.13,8.04
8,-5.640000000000001,-12.940000000000001,1.8,9.29
8,-3.7400000000000007,-13.540000000000001,1.7,9.8
8,-3.6400000000000006,-3.6400000000000006,1.81,9.17
8,-5.840000000000001,5.56,2.84,5.84
8,-1.9400000000000006,-13.940000000000001,1.9099999999999997,8.68
8,-2.9400000000000004,5.56,2.16,7.67
8,-1.7400000000000007,-5.24,3.18,5.12
8,-1.7400000000000007,-0.04000000000000057,2.91,5.58
8,1.2599999999999993,-0.04000000000000057,1.64,9.79
8,1.4599999999999995,-13.74,1.72,9.31
