Instance: r150
Bin radius: 14.24
Rho: 1/2
Rotate enable: false
Packed item area: 596.6191000000002
Packed item count: 82
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-1.455,-14.165471224071581,2.91,2.04
-5.655,-13.068992883921851,4.2,2.96
-8.165,-11.666635119004967,2.51,4.69
-10.645,-9.45841292183842,2.48,4.5
-13.375,-4.887430306408471,2.73,2.05
-12.745,-6.247430306408471,2.1,1.36
-12.205,-7.267430306408471,1.56,1.02
-9.434999999999999,-10.62841292183842,1.27,1.17
1.4550000000000005,-13.611148922849974,2.73,4.88
4.1850000000000005,-12.944240997447476,1.75,2.46
5.935000000000001,-10.002968309456946,4.2,1.29
5.9350000000000005,-11.102968309456946,2.6,1.1
5.9350000000000005,-12.232968309456947,1.17,1.13
10.135000000000002,-2.287919360467055,3.92,4.47
10.135000000000002,-3.787919360467056,3.59,1.5
10.135000000000002,-5.647919360467056,2.89,1.86
10.135000000000002,-7.087919360467055,1.92,1.44
10.135000000000002,-8.687919360467054,1.11,1.6
-1.455,-12.125471224071582,2.91,4.21
4.285000000000002,-10.484240997447476,1.65,3.56
-5.654999999999999,-10.10899288392185,4.12,1.96
1.5250000000000021,-8.731148922849975,2.76,4.41
6.075000000000002,-8.712968309456947,4.06,2.48
-5.654999999999999,-8.14899288392185,4.07,1.8
-1.4949999999999979,-7.915471224071582,3.02,3.61
-8.165,-6.976635119004967,2.46,3.14
4.285000000000002,-6.924240997447475,1.77,1.98
-5.704999999999999,-6.3489928839218495,4.14,2.38
6.165000000000001,-6.232968309456947,3.97,4.92
-10.645,-4.95841292183842,2.44,2.27
4.345000000000001,-4.944240997447475,1.82,3.87
1.6050000000000004,-4.321148922849975,2.74,4.02
-1.5649999999999995,-4.305471224071582,3.17,2.31
-5.704999999999999,-3.9689928839218496,4.14,1.88
-8.195,-3.8366351190049666,2.49,3.44
-13.945,-2.8374303064084714,3.3,2.47
-10.645,-2.68841292183842,2.45,2.27
-5.705,-2.0889928839218497,4.11,4.91
-1.5949999999999998,-1.9954712240715815,3.19,3.41
6.165000000000001,-1.3129683094569469,3.97,2.89
4.485000000000001,-1.0742409974474745,1.68,2.57
-10.645,-0.4184129218384198,2.3,3.86
-8.344999999999999,-0.3966351190049666,2.59,1.51
-14.105,-0.3674303064084712,3.46,2.22
1.5950000000000002,-0.3011489228499755,2.89,4.38
-8.344999999999999,1.1133648809950334,2.6,1.73
-1.5949999999999998,1.4145287759284186,3.19,1.33
4.485,1.4957590025525254,1.68,4.04
6.165,1.5770316905430533,3.84,4.96
-13.924999999999999,1.852569693591529,3.28,1.12
10.004999999999999,2.182080639532945,3.78,1.26
-1.5549999999999997,2.7445287759284187,3.15,4.17
-5.665,2.8210071160781505,4.11,4.92
-8.315,2.8433648809950336,2.65,4.79
-13.495,2.972569693591529,2.85,1.54
-10.605,3.44158707816158,2.29,1.65
10.004999999999999,3.4420806395329446,3.12,1.71
1.5950000000000002,4.078851077150024,2.89,3.52
-12.515,4.512569693591529,1.91,2.09
-10.565,5.09158707816158,2.25,3.82
10.004999999999999,5.152080639532945,2.7,1.09
4.485,5.535759002552526,1.54,1.45
10.004999999999999,6.2420806395329445,1.94,1.4
6.134999999999999,6.537031690543053,3.87,1.13
-11.684999999999999,6.602569693591529,1.12,1.48
-1.5549999999999997,6.914528775928419,3.0,3.13
4.584999999999999,6.985759002552526,1.55,3.19
1.5949999999999989,7.598851077150025,2.99,4.11
-8.315,7.633364880995034,2.21,2.45
6.134999999999999,7.667031690543053,4.93,1.28
-6.1049999999999995,7.74100711607815,4.41,1.35
-9.745,8.91158707816158,1.43,1.34
6.134999999999999,8.947031690543053,3.36,1.57
-6.1049999999999995,9.091007116078151,4.51,1.94
-1.5850000000000013,10.04452877592842,3.18,2.78
-8.055,10.083364880995035,1.95,1.65
4.584999999999999,10.175759002552526,1.53,2.67
6.114999999999999,10.517031690543053,1.22,1.59
-6.1049999999999995,11.03100711607815,4.52,1.78
3.004999999999999,11.708851077150026,1.58,1.5
1.5949999999999989,11.708851077150026,1.26,2.24
-2.705000000000001,12.82452877592842,4.3,1.09
