Instance: r3
Bin radius: 5.08
Rho: 1/3
Rotate enable: true
Packed item area: 67.355
Packed item count: 12
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-1.64,-4.807993344421351,3.28,4.03
-3.1099999999999994,-4.016752419554883,1.47,3.71
-4.35,-2.6237187349256788,1.24,2.05
1.6399999999999997,-3.7471989538854222,1.79,4.78
3.4299999999999993,-2.450285697627933,1.02,4.37
-1.5000000000000002,-0.7779933444213505,3.14,3.76
-4.89,-0.5737187349256789,1.78,1.8
-3.04,-0.30675241955488275,1.54,1.55
1.64,1.032801046114578,1.65,2.76
-4.26,1.2432475804451173,2.76,1.27
-3.3899999999999997,2.5132475804451175,1.89,1.27
-1.4999999999999998,2.9820066555786493,2.88,1.83
