Instance: s150
Bin radius: 12.7
Rho: 1/3
Rotate enable: false
Packed item area: 473.1918999999999
Packed item count: 55
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-2.38,-12.474998997995952,4.76,4.76
-4.649999999999999,-11.818100524195925,2.27,2.27
-9.479999999999999,-8.451011773746385,4.83,4.83
-12.159999999999998,-3.663932313785289,2.68,2.68
-11.399999999999999,-5.583932313785288,1.92,1.92
-10.679999999999998,-6.7839323137852885,1.2,1.2
-6.589999999999998,-10.391011773746385,1.94,1.94
-7.989999999999998,-9.851011773746386,1.4,1.4
2.38,-10.583458791907304,4.64,4.64
2.38,-12.083458791907304,1.5,1.5
3.88,-11.653458791907305,1.07,1.07
7.02,-6.9645961835558,3.6,3.6
7.02,-8.7645961835558,1.8,1.8
7.02,-9.804596183555802,1.04,1.04
8.82,-7.9645961835558,1.0,1.0
10.62,-3.5628499828087086,1.57,1.57
10.62,-4.702849982808709,1.14,1.14
-4.649999999999999,-9.548100524195926,2.2,2.2
-2.3,-7.714998997995952,4.68,4.68
-4.64,-7.348100524195925,2.34,2.34
2.38,-5.943458791907305,4.64,4.64
-4.58,-5.0081005241959256,2.28,2.28
-9.479999999999999,-3.6210117737463854,4.9,4.9
7.02,-3.3645961835558,3.6,3.6
-2.1699999999999986,-3.0349989979959524,4.55,4.55
-4.549999999999999,-2.7281005241959257,2.38,2.38
10.62,-1.9928499828087085,1.89,1.89
2.3800000000000012,-1.303458791907305,4.61,4.61
-12.499999999999998,-0.9839323137852887,3.02,3.02
-4.5299999999999985,-0.34810052419592585,2.36,2.36
10.62,-0.1028499828087086,1.94,1.94
6.990000000000002,0.23540381644420005,3.62,3.62
-9.479999999999999,1.278988226253615,4.95,4.95
-2.03,1.5150010020040474,4.41,4.41
10.610000000000003,1.8371500171912913,1.6,1.6
-4.5299999999999985,2.011899475804074,2.45,2.45
-11.839999999999998,2.0360676862147113,2.36,2.36
2.3800000000000003,3.3065412080926952,4.61,4.61
10.610000000000003,3.4371500171912914,1.12,1.12
6.99,3.8554038164442,3.34,3.34
-11.149999999999999,4.396067686214711,1.67,1.67
-4.5299999999999985,4.461899475804074,2.49,2.49
10.33,4.557150017191292,1.04,1.04
-2.01,5.925001002004048,4.39,4.39
-8.079999999999998,6.228988226253615,3.55,3.55
-9.839999999999998,6.228988226253615,1.76,1.76
-4.52,6.951899475804074,2.51,2.51
6.99,7.1954038164442,1.88,1.88
2.38,7.916541208092696,3.31,3.31
5.6899999999999995,7.916541208092696,1.25,1.25
5.6899999999999995,9.166541208092696,1.38,1.38
-4.4399999999999995,9.461899475804074,2.43,2.43
-5.859999999999999,9.778988226253615,1.42,1.42
-2.0099999999999993,10.315001002004047,2.18,2.18
0.17000000000000082,10.315001002004047,2.16,2.16
