Instance, Rotate, Best, Avg , Worst, Time(s)
r1-0-F,F,5,5.0,5,0.0342
r1-0-R,R,5,5.0,5,0.0514
r1-1-F,F,6,6.0,6,0.019
r1-1-R,R,6,6.0,6,0.041999999999999996
r1-2-F,F,7,7.0,7,0.023
r1-2-R,R,7,7.0,7,0.0626
r100-0-F,F,48,46.6,45,0.7024
r100-0-R,R,49,47.8,47,2.1856
r100-1-F,F,63,62.0,61,1.0462
r100-1-R,R,64,63.8,63,3.768
r100-2-F,F,75,74.4,74,1.4445999999999999
r100-2-R,R,76,75.6,75,3.8768000000000002
r150-0-F,F,75,74.6,74,2.6826
r150-0-R,R,78,76.2,75,7.5152
r150-1-F,F,98,96.4,96,3.8292
r150-1-R,R,101,99.2,95,11.8776
r150-2-F,F,116,115.6,115,4.7206
r150-2-R,R,119,118.2,117,10.1896
r2-0-F,F,8,8.0,8,0.0474
r2-0-R,R,8,8.0,8,0.11539999999999999
r2-1-F,F,11,10.6,10,0.0854
r2-1-R,R,11,11.0,11,0.23399999999999999
r2-2-F,F,13,13.0,13,0.1222
r2-2-R,R,14,13.4,13,0.3056
r200-0-F,F,104,102.2,101,6.8514
r200-0-R,R,106,104.8,103,19.2164
r200-1-F,F,132,131.8,131,9.2726
r200-1-R,R,136,133.8,132,20.0036
r200-2-F,F,156,155.8,155,11.3628
r200-2-R,R,159,159.0,159,20.0052
r3-0-F,F,15,14.2,14,0.1248
r3-0-R,R,15,14.8,14,0.39940000000000003
r3-1-F,F,18,18.0,18,0.202
r3-1-R,R,19,18.8,18,0.6894
r3-2-F,F,22,21.8,21,0.3294
r3-2-R,R,22,22.0,22,0.9318
s1-0-F,F,4,4.0,4,0.0072
s1-1-F,F,5,5.0,5,0.0118
s1-2-F,F,6,6.0,6,0.0172
s100-0-F,F,58,56.6,54,0.833
s100-1-F,F,71,70.2,70,1.066
s100-2-F,F,81,81.0,81,1.3978
s150-0-F,F,93,92.8,92,2.6666
s150-1-F,F,111,110.8,110,3.8008
s150-2-F,F,124,124.0,124,4.3014
s2-0-F,F,11,11.0,11,0.0764
s2-1-F,F,13,13.0,13,0.1226
s2-2-F,F,15,15.0,15,0.15360000000000001
s200-0-F,F,118,117.2,115,6.8464
s200-1-F,F,145,144.4,144,7.9117999999999995
s200-2-F,F,165,165.0,165,11.2272
s3-0-F,F,17,16.8,16,0.13040000000000002
s3-1-F,F,21,21.0,21,0.1914
s3-2-F,F,24,24.0,24,0.2734
