Instance: r150
Bin radius: 11.63
Rho: 1/3
Rotate enable: true
Packed item area: 386.81699999999995
Packed item count: 78
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-0.645,-11.6121003698728,1.29,2.54
-2.635,-11.327562623971673,1.99,4.45
-4.154999999999999,-10.862452531541855,1.52,4.88
-6.204999999999999,-9.836405593508232,2.05,2.72
-7.884999999999999,-8.54889905192476,1.68,2.57
-9.004999999999999,-7.359814875389193,1.12,1.48
-10.584999999999999,-4.818160956215562,1.58,1.5
0.645,-11.21337036755676,2.44,2.27
3.085,-10.787857757682941,1.26,2.24
4.344999999999999,-9.965785217432696,1.65,3.56
5.994999999999999,-8.502509923546109,1.94,1.4
7.934999999999999,-3.079070476621163,3.28,1.12
7.934999999999999,-4.809070476621164,2.6,1.73
7.934999999999999,-5.929070476621164,1.95,1.12
7.934999999999999,-7.099070476621164,1.27,1.17
-0.6449999999999998,-9.0721003698728,1.29,4.2
0.6450000000000002,-8.94337036755676,2.44,4.6
3.085,-8.54785775768294,1.26,3.78
-6.204999999999999,-7.116405593508231,2.05,3.68
5.994999999999999,-7.102509923546108,1.94,4.51
-2.6349999999999993,-6.877562623971673,1.99,3.47
4.345,-6.405785217432696,1.65,4.31
-4.135,-5.982452531541855,1.5,3.59
-7.884999999999999,-5.97889905192476,1.68,4.04
-9.444999999999999,-5.838160956215562,1.56,1.02
-0.6449999999999994,-4.8721003698728,1.28,4.93
-8.975,-4.8181609562155625,1.09,4.3
3.125,-4.7678577576829415,1.22,1.59
0.6350000000000007,-4.34337036755676,2.49,3.44
-6.204999999999999,-3.436405593508231,2.04,2.91
-2.5949999999999993,-3.4075626239716725,1.95,1.65
-11.075,-3.3181609562155616,2.1,1.36
3.125000000000001,-3.1778577576829417,1.22,4.66
6.014999999999997,-2.5925099235461087,1.92,1.44
-4.164999999999999,-2.3924525315418554,1.57,3.36
4.345000000000001,-2.095785217432696,1.65,2.29
7.934999999999997,-1.959070476621163,3.33,1.78
-11.425,-1.9581609562155615,2.45,2.27
-7.885,-1.9388990519247598,1.54,2.85
-2.594999999999999,-1.7575626239716726,1.91,2.09
5.995000000000001,-1.1525099235461087,1.89,2.78
0.6650000000000009,-0.9033703675567604,2.46,1.75
-6.345,-0.526405593508231,2.18,2.14
-8.975000000000001,-0.5181609562155627,1.09,2.7
7.885000000000001,-0.17907047662116304,3.63,1.11
-0.6849999999999989,0.05789963012720012,1.35,4.41
4.395000000000001,0.19421478256730396,1.6,1.11
-11.025000000000002,0.3118390437844385,2.05,2.73
-2.544999999999999,0.33243737602832724,1.86,2.57
0.6650000000000011,0.8466296324432396,2.46,3.14
-7.885000000000002,0.9111009480752403,1.54,1.45
7.885000000000001,0.930929523378837,3.5,1.44
-4.074999999999999,0.9675474684581444,1.53,2.67
4.445000000000001,1.304214782567304,1.55,3.19
3.175000000000001,1.4821422423170585,1.27,4.67
-6.295,1.613594406491769,2.22,3.46
5.995000000000001,1.627490076453891,1.87,2.97
-8.975000000000001,2.1818390437844375,1.07,4.59
-7.905000000000001,2.36110094807524,1.48,2.67
7.865000000000001,2.370929523378837,2.89,1.86
-2.544999999999999,2.902437376028327,1.86,3.66
-10.405000000000001,3.0418390437844387,1.43,1.34
-4.054999999999999,3.6375474684581444,1.51,2.59
0.6650000000000011,3.9866296324432398,2.51,4.69
7.865000000000001,4.230929523378837,1.98,1.77
-10.145000000000001,4.381839043784439,1.17,1.13
-0.6649999999999989,4.4678996301272,1.33,3.19
4.445000000000001,4.494214782567304,1.41,2.87
5.855000000000001,4.597490076453891,2.01,3.73
-7.905000000000001,5.03110094807524,1.27,3.3
-6.635000000000002,5.073594406491769,2.38,4.14
3.1750000000000007,6.152142242317058,1.07,4.22
-4.255000000000002,6.227547468458145,1.71,3.12
-2.5450000000000017,6.562437376028328,1.88,4.14
4.245000000000001,7.364214782567304,1.1,2.6
-0.6650000000000018,7.657899630127201,1.13,3.87
0.4649999999999981,8.676629632443241,2.45,2.21
-4.445000000000002,9.347547468458146,1.9,1.11
