Instance: r200
Bin radius: 13.17
Rho: 1/3
Rotate enable: false
Packed item area: 499.58440000000013
Packed item count: 104
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-0.565,-13.157875018406278,1.13,2.07
-3.1949999999999994,-12.776575245346462,2.63,2.26
-4.914999999999998,-12.218497248025226,1.72,1.05
-6.854999999999997,-11.245349038602583,1.94,2.42
-8.354999999999997,-10.180514476194219,1.5,4.68
-12.144999999999996,-5.093905672467845,3.79,1.4
-11.454999999999997,-6.353905672467846,3.1,1.26
-10.714999999999996,-7.623905672467846,2.36,1.27
-9.524999999999997,-8.673905672467846,1.17,1.05
0.565,-13.045722479035035,1.24,2.02
1.8050000000000002,-12.536653261536749,2.23,2.06
4.035,-11.811785428122203,1.79,4.8
5.825,-10.850008064513132,1.64,2.41
7.464999999999999,-9.116132677840973,2.04,2.29
9.504999999999999,-3.782945281126871,3.11,2.55
9.504999999999999,-5.462945281126871,2.43,1.68
9.504999999999999,-6.51294528112687,1.78,1.05
9.504999999999999,-7.51294528112687,1.19,1.0
-4.914999999999997,-11.168497248025226,1.7,1.95
-0.5649999999999995,-11.087875018406278,1.13,4.44
0.5650000000000004,-11.025722479035036,1.24,3.27
-3.214999999999997,-10.516575245346463,2.65,2.0
1.875,-10.476653261536748,2.16,3.06
-4.874999999999997,-9.218497248025226,1.66,2.0
-6.854999999999997,-8.825349038602583,1.95,4.21
-3.1449999999999996,-8.516575245346463,2.58,2.09
5.854999999999999,-8.440008064513131,1.61,2.53
0.5650000000000004,-7.755722479035036,1.28,3.58
1.8450000000000004,-7.416653261536748,2.18,2.04
-4.904999999999997,-7.218497248025226,1.76,2.08
4.025,-7.011785428122203,1.81,2.58
7.5649999999999995,-6.826132677840973,1.94,2.79
-0.5549999999999997,-6.647875018406277,1.12,4.1
-3.144999999999997,-6.426575245346463,2.59,4.51
5.835000000000001,-5.910008064513132,1.73,4.21
-8.354999999999997,-5.500514476194219,1.46,2.14
1.8450000000000004,-5.376653261536748,2.14,1.78
-4.734999999999997,-5.138497248025226,1.59,2.24
-6.824999999999997,-4.6153490386025835,2.09,2.85
4.065000000000001,-4.431785428122203,1.77,4.5
0.5650000000000004,-4.175722479035036,1.24,3.56
7.834999999999999,-4.036132677840973,1.67,1.91
-12.374999999999996,-3.6939056724678454,4.02,1.75
1.8050000000000004,-3.5966532615367477,2.26,3.39
-8.354999999999997,-3.360514476194219,1.53,4.28
-4.734999999999997,-2.898497248025226,1.55,1.1
-0.5249999999999997,-2.5478750184062777,1.09,1.09
7.874999999999999,-2.126132677840973,1.63,4.97
-13.024999999999997,-1.9439056724678454,4.67,1.67
-3.1449999999999996,-1.916575245346463,2.62,3.89
-4.595,-1.798497248025226,1.45,2.66
-6.824999999999997,-1.7653490386025834,2.21,4.17
5.904999999999999,-1.7000080645131321,1.97,1.1
-0.5249999999999995,-1.4578750184062776,1.09,1.83
9.504999999999999,-1.232945281126871,3.6,2.24
0.5650000000000006,-0.615722479035036,1.2,1.84
6.264999999999999,-0.600008064513132,1.61,1.72
-13.054999999999996,-0.2739056724678455,4.7,1.28
1.7650000000000006,-0.20665326153674757,2.3,1.77
4.065,0.06821457187779689,2.15,3.03
-0.5249999999999995,0.3721249815937224,1.06,3.77
-4.614999999999997,0.8615027519747742,1.43,2.66
-8.344999999999997,0.9194855238057813,1.52,4.61
-12.894999999999996,1.0060943275321546,4.55,1.03
9.504999999999999,1.0070547188731291,3.13,1.85
6.215,1.119991935486868,1.4,2.93
0.5350000000000006,1.2242775209649641,1.23,4.09
1.7650000000000006,1.5633467384632524,2.3,1.06
-3.1049999999999995,1.973424754653537,2.58,2.79
-12.454999999999998,2.0360943275321546,4.11,1.5
-6.8249999999999975,2.4046509613974165,2.21,3.56
1.7650000000000006,2.6233467384632525,2.26,2.17
7.615,2.843867322159027,1.49,1.8
9.105,2.8570547188731292,3.2,1.69
4.025,3.0982145718777967,2.17,4.37
-4.6149999999999975,3.5215027519747744,1.41,3.7
-11.954999999999997,3.5360943275321546,3.61,1.45
6.195,4.049991935486868,1.32,1.83
-0.5149999999999999,4.142124981593723,1.05,1.09
9.105,4.547054718873129,2.74,1.07
7.515000000000001,4.643867322159027,1.35,3.09
-3.2049999999999974,4.763424754653537,2.67,1.49
1.7850000000000001,4.793346738463253,2.24,4.09
-11.454999999999997,4.986094327532155,3.11,1.02
-0.5349999999999975,5.2321249815937225,1.05,3.34
0.6150000000000002,5.314277520964964,1.17,3.31
-8.344999999999997,5.529485523805782,1.32,1.82
8.865,5.6170547188731295,2.11,1.3
6.195,5.879991935486868,1.32,2.39
-7.024999999999997,5.964650961397417,2.41,2.98
-10.674999999999997,6.006094327532155,2.33,1.57
-3.1549999999999976,6.253424754653537,2.62,2.85
8.865,6.917054718873129,1.29,1.45
-4.504999999999997,7.221502751974775,1.35,1.41
-8.204999999999997,7.349485523805782,1.18,2.59
4.025,7.468214571877796,2.06,2.91
6.085000000000001,8.269991935486868,2.47,1.62
-0.5349999999999975,8.572124981593722,1.1,4.4
0.5650000000000026,8.624277520964965,1.17,3.97
-4.154999999999998,8.631502751974775,1.0,2.34
1.7350000000000025,8.883346738463253,2.28,1.99
-6.934999999999997,8.944650961397416,2.78,2.14
-3.1049999999999973,9.103424754653537,2.57,3.62
1.7350000000000025,10.873346738463253,3.51,1.08
