Instance: s100
Bin radius: 14.39
Rho: 2/3
Rotate enable: false
Packed item area: 591.3450999999999
Packed item count: 81
X coordinate of lower left corner,Y coordinate of lower left corner,Item's width,Item's height
-1.725,-14.286233758412326,3.45,3.45
-5.035,-13.48038853297634,3.31,3.31
-6.905,-12.625097029330112,1.87,1.87
-8.005,-11.957929377613835,1.1,1.1
-11.625,-8.481242538685,3.62,3.62
-14.245000000000001,-2.0376641038208354,2.62,2.62
-13.754999999999999,-4.167664103820836,2.13,2.13
-13.085,-5.627664103820837,1.46,1.46
-12.705,-6.7076641038208376,1.08,1.08
-9.875,-10.351242538685,1.87,1.87
1.725,-13.581681596915752,3.03,3.03
4.755000000000001,-11.592949365886147,3.77,3.77
4.755,-12.952949365886147,1.36,1.36
8.525,-8.978979619088127,2.72,2.72
8.525,-10.368979619088128,1.39,1.39
11.245000000000001,-4.194862929822616,2.52,2.52
11.245000000000001,-5.954862929822616,1.76,1.76
11.245000000000001,-7.094862929822615,1.14,1.14
-8.004999999999999,-10.857929377613836,1.02,1.02
-1.725,-10.836233758412327,3.34,3.34
-6.984999999999999,-10.755097029330113,1.76,1.76
1.6149999999999998,-10.551681596915753,3.14,3.14
-5.154999999999999,-10.17038853297634,3.43,3.43
-8.004999999999999,-8.995097029330113,2.76,2.76
4.855000000000002,-7.8229493658861475,3.67,3.67
-1.7249999999999992,-7.496233758412327,3.26,3.26
1.5950000000000024,-7.411681596915752,3.26,3.26
-4.965,-6.74038853297634,3.24,3.24
8.545000000000002,-6.258979619088127,2.7,2.7
-8.004999999999999,-6.235097029330113,3.04,3.04
-11.625,-4.8612425386850004,3.55,3.55
-1.7249999999999996,-4.236233758412327,3.09,3.09
4.855000000000002,-4.152949365886148,3.69,3.69
1.8150000000000022,-4.151681596915752,3.04,3.04
8.545000000000002,-3.5589796190881264,2.68,2.68
-4.725,-3.5003885329763396,3.0,3.0
-7.595,-3.195097029330113,2.87,2.87
11.225000000000001,-1.6748629298226159,2.86,2.86
-11.625,-1.3112425386850006,3.94,3.94
-1.7249999999999996,-1.1462337584123272,3.54,3.54
1.8150000000000004,-1.1116815969157523,2.99,2.99
8.555000000000001,-0.8789796190881263,2.67,2.67
-4.625,-0.5003885329763396,2.9,2.9
4.805000000000001,-0.46294936588614766,3.7,3.7
-7.6850000000000005,-0.325097029330113,2.97,2.97
-14.065,0.5823358961791647,2.44,2.44
11.225000000000001,1.185137070177384,2.47,2.47
8.715000000000002,1.7910203809118737,2.51,2.51
2.0550000000000006,1.878318403084248,2.75,2.75
-0.9549999999999992,2.393766241587673,3.01,3.01
-3.774999999999999,2.3996114670236603,2.82,2.82
-11.625,2.6287574613149993,3.81,3.81
-7.8149999999999995,2.644902970669887,4.02,4.02
-13.495000000000001,3.0223358961791646,1.87,1.87
4.805000000000001,3.2370506341138525,3.83,3.83
11.225000000000001,3.655137070177384,1.99,1.99
8.635000000000002,4.301020380911874,2.56,2.56
2.505000000000001,4.628318403084248,2.3,2.3
-12.865,4.892335896179165,1.24,1.24
-3.795,5.21961146702366,2.19,2.19
-1.605,5.403766241587673,4.05,4.05
11.195000000000002,5.645137070177384,1.11,1.11
-9.885,6.438757461314999,2.07,2.07
-11.605,6.438757461314999,1.72,1.72
-7.8149999999999995,6.664902970669887,3.97,3.97
8.635000000000002,6.861020380911874,2.22,2.22
10.855000000000002,6.861020380911874,1.03,1.03
2.445,6.928318403084248,2.3,2.3
4.744999999999999,7.067050634113853,3.88,3.88
-3.8449999999999993,7.409611467023661,2.22,2.22
-9.375,8.508757461315,1.56,1.56
2.4649999999999994,9.228318403084248,2.28,2.28
0.41499999999999915,9.453766241587672,2.05,2.05
-1.5950000000000006,9.453766241587672,2.01,2.01
-3.775000000000001,9.629611467023661,2.18,2.18
-5.735,10.634902970669888,1.96,1.96
4.744999999999999,10.947050634113854,1.78,1.78
-1.5950000000000006,11.463766241587672,1.78,1.78
0.1849999999999994,11.503766241587673,1.74,1.74
1.9249999999999994,11.508318403084248,2.11,2.11
-3.6250000000000004,11.809611467023661,2.03,2.03
